cluster,gene,score,logfoldchange,pval,pval_adj,pct_expr
-1,MAPK15,3.8895876,1.7497171,0.00010041472724060857,0.004794420495328892,0.0
-1,PKD1L1,3.8806999,0.39704666,0.0001041563405338047,0.004940853202409415,0.1111111111111111
-1,NME5,3.8719923,2.0171196,0.001361688214976541,0.027525166448433197,0.07407407407407407
-1,HS2ST1,3.8626804,1.1200374,0.0004380054147567296,0.013647869577393813,0.16666666666666666
-1,B3GALT6,3.7721245,0.9801658,0.0001618634590151466,0.007103576593544967,0.05555555555555555
-1,FSIP1,3.7617402,1.6344562,0.0001687353275783164,0.007339235702204634,0.1111111111111111
-1,NOS1,3.7486796,1.4712723,0.00017776791253404372,0.007686495757887944,0.0
-1,ECHDC1,3.7461636,-0.105684064,0.00017955955128833332,0.0077411291258364405,0.16666666666666666
-1,HMCN1,3.7413263,0.572214,0.00043958932899199705,0.014042450203121547,0.16666666666666669
-1,CCDC60,3.7388196,3.6944916,0.00018488638784061994,0.007924165710432184,0.1111111111111111
-1,SELENBP1,3.7179852,2.3444948,0.0007064227835487957,0.0196805548107501,0.1388888888888889
-1,KAL1,3.7003047,1.01908,0.00021534067087467152,0.00899277365721064,0.0
-1,IRAK4,3.699476,2.1133816,0.00021604498930772372,0.008996555264979018,0.05555555555555555
-1,DNAI1,3.6915445,1.5065068,0.0006783730881497848,0.019213250964829006,0.19444444444444442
-1,MRC1,3.6821105,1.8463473,0.00023131098171048033,0.009524034746944441,0.1111111111111111
-1,CARD11,3.6662345,1.7987629,0.00024614827160273153,0.009939507892983028,0.0
-1,CD63,3.6577833,0.7199268,0.0002544061116677528,0.010160993964103325,0.0
-1,DYDC1,3.6472404,1.9194455,0.00026507194904544414,0.010558219100837284,0.05555555555555555
-1,COL6A2,3.6429372,2.1836684,0.0002695447174979324,0.010707280404023559,0.05555555555555555
-1,ALDH1A1,3.627842,1.7089286,0.00028579999493816917,0.011112085744837357,0.16666666666666666
-1,SPA17,3.6202946,0.26088464,0.00029803956320864015,0.011250214570948682,0.3055555555555556
-1,AKAP9,3.612747,1.9405437,0.00030297025832343156,0.011595138502623656,0.0
-1,LRRC73,3.6077154,1.1322122,0.0003089051346053558,0.01173039239130908,0.0
-1,CYP3A7,3.5978327,2.3607414,0.00032087999339385035,0.01203766239703584,0.05555555555555555
-1,col6a6,3.5978327,2.388092,0.00032087999339385035,0.01203766239703584,0.2222222222222222
-1,SCARB2,3.597652,0.19825418,0.0003211028787857152,0.01203766239703584,0.3888888888888889
-1,PKN2,3.5926204,-0.34446907,0.0003273694461393184,0.012185863695420174,0.0
-1,SLC6A4,3.5875885,0.60215694,0.0003337503235599706,0.01226093293920313,0.05555555555555555
-1,SPE1,3.5875885,0.7635569,0.0003337503235599706,0.01226093293920313,0.0
-1,SUZ12,3.5836017,1.7884644,0.0003388885624746233,0.01241857137188257,0.16666666666666666
-1,SPATA6,3.582557,-0.22317122,0.0003402474317126945,0.012423784993034464,0.16666666666666666
-1,EFCAB1,3.5821898,2.3833904,0.000340725990394314,0.012423784993034464,0.4444444444444444
-1,GSTZ1,3.5775251,-0.8093551,0.0003468627203094135,0.012492171386475143,0.2777777777777778
-1,lrrc8d,3.5587258,2.1436307,0.0003726584044050671,0.013258317698469595,0.0
-1,IQCA1,3.5498354,1.5180994,0.0003854718994844229,0.013647939861455727,0.3888888888888889
-1,SLC5A5,3.5361042,2.1898067,0.0019153126858750143,0.038202513459720616,0.05555555555555555
-1,RSPH4A,3.5130367,1.8672798,0.00044301611016320117,0.01546126224469572,0.1111111111111111
-1,LRRC72,3.500597,1.9506555,0.0004642172488798649,0.016086279986007233,0.2222222222222222
-1,SLC7A9,3.4957113,1.7605507,0.00047279991316511604,0.01626831250510392,0.16666666666666666
-1,DLEC1,3.4566257,0.9348222,0.0005469838371819207,0.018431469161868032,0.0
-1,PIP5KL1,3.4566257,1.0776852,0.0005469838371819207,0.018431469161868032,0.05555555555555555
-1,CDKL1,3.45174,0.35272938,0.00055698394052255,0.018725391284815453,0.05555555555555555
-1,NLRP6,3.4419687,0.20590313,0.0005774970110586744,0.019238525427495566,0.1111111111111111
-1,AGPAT3,3.4328277,1.1735935,0.0005973213786106636,0.01976419134915374,0.0
-1,TRPC5,3.4301002,0.7559185,0.002389527415567696,0.046210781374778104,0.20370370370370372
-1,MDH1B,3.422426,0.08654256,0.0006206499736467643,0.02039795361819343,0.4444444444444444
-1,PPP5C,3.422426,0.35370192,0.0006206499736467643,0.02039795361819343,0.16666666666666666
-1,MS4A4A,3.4199991,0.09624188,0.0009329321370259889,0.026076468845146354,0.16666666666666666
-1,GOLGA5,3.4169405,0.4927481,0.0006332915666468382,0.020537141114843706,0.16666666666666666
-1,PPWD1,3.402029,1.9735098,0.0006688753317594357,0.02153727616488661,0.05555555555555555
-1,SSTR5,3.391768,2.1953628,0.001017095878245234,0.026617328871237092,0.1111111111111111
-1,CHDC2,3.3830879,1.5498834,0.001096075856190961,0.029528411088103206,0.027777777777777776
-1,DLL4,3.3790765,1.8032411,0.000727297870416193,0.023149317912035474,0.05555555555555555
-1,PPP1R3B,3.3692858,2.5841825,0.0007536321310987941,0.023807628831133888,0.2222222222222222
-1,MRI1,3.3604486,1.7538884,0.0007781598831494551,0.024476969028336296,0.0
-1,TLR2,3.3585207,1.3491391,0.0007836084867657804,0.024543019656010277,0.05555555555555555
-1,SPATS1,3.345525,1.8778832,0.0008212693383602769,0.025504588901874868,0.6111111111111112
-1,MRPL42,3.3427205,2.0163891,0.0008296139221715394,0.025709261884123518,0.16666666666666666
-1,RTDR1,3.3407729,1.1580156,0.0008354552806943539,0.0258356614017254,0.2222222222222222
