cluster,gene,score,logfoldchange,pval,pval_adj,pct_expr
-1,ARMC3,2.5755467,2.9075928,0.010008172725814696,0.5518928478987101,0.16666666666666666
-1,BAIAP2,2.5747774,1.8817289,0.010030464611903859,0.5518928478987101,0.0
-1,ASF1A,2.572425,3.1487818,0.010098883572068836,0.5518928478987101,0.16666666666666666
-1,ABCG2,2.5502896,3.1510026,0.01076334611835831,0.5675148467730076,0.16666666666666666
-1,GPR20,2.5502896,3.5082278,0.01076334611835831,0.5675148467730076,0.0
-1,YES1,2.5502896,4.1683965,0.01076334611835831,0.5675148467730076,0.16666666666666666
-1,USP5,2.5403664,3.2256439,0.01107364168489964,0.5726064934072834,0.0
-1,lsm8,2.5403664,2.599805,0.01107364168489964,0.5726064934072834,0.0
-1,TMEM53,2.530443,1.1948363,0.011391858802337547,0.5726064934072834,0.0
-1,TTF2,2.530443,2.4083245,0.011391858802337547,0.5726064934072834,0.0
-1,IP6K1,2.523976,1.6180712,0.011603584375545272,0.5726064934072834,0.16666666666666666
-1,MORC2,2.5218768,2.7274032,0.011673057570855867,0.5726064934072834,0.0
-1,NUDT18,2.5207725,3.6026468,0.011709752959083636,0.5726064934072834,0.0
-1,CKS2,2.5156503,2.8659422,0.011881298320220897,0.5726064934072834,0.0
-1,BAZ1A,2.5105965,1.7983497,0.012052740785628404,0.5726064934072834,0.0
-1,CAPN7,2.5105965,1.6952412,0.012052740785628404,0.5726064934072834,0.16666666666666666
-1,MED7,2.500673,1.1986527,0.012395753995072853,0.5726064934072834,0.0
-1,TRAPPC12,2.499315,2.6003556,0.0124433658960682,0.5726064934072834,0.5
-1,NUDT17,2.4989016,3.1905413,0.012457885639231583,0.5726064934072834,0.16666666666666666
-1,DNAH9,2.493976,2.5367608,0.013885372238857748,0.5866957164432559,0.08333333333333333
-1,ABHD11,2.4907498,1.7002585,0.012747385476175044,0.5726064934072834,0.16666666666666666
-1,ANKRD66,2.4907498,1.5157329,0.012747385476175044,0.5726064934072834,0.16666666666666666
-1,D2HGDH,2.4907498,0.15372187,0.012747385476175044,0.5726064934072834,0.16666666666666666
-1,TYW5,2.4907498,0.38485888,0.012747385476175044,0.5726064934072834,0.3333333333333333
-1,CES5A,2.4808264,-0.22120738,0.013107816270839966,0.5726064934072834,0.0
-1,GNL1,2.478138,2.824349,0.013207009864154838,0.5726064934072834,0.0
-1,TNIP2,2.4775345,3.1310992,0.013229363615717768,0.5726064934072834,0.3333333333333333
-1,CSMD2,2.4709032,-1.9285855,0.013477230196855832,0.5726064934072834,0.3333333333333333
-1,DMBT1,2.4709032,-2.8975236,0.013477230196855832,0.5726064934072834,0.0
-1,RPA3,2.4709032,1.094363,0.013477230196855832,0.5726064934072834,0.0
-1,FOLR1,2.4650173,2.309043,0.01370066459797104,0.5804171724770506,0.16666666666666666
-1,LOXL4,2.4571347,6.9618344,0.014005011073419968,0.5831973077107667,0.0
-1,CCDC25,2.4558015,1.4072353,0.014057080070645168,0.583707307862654,0.0
-1,COX10,2.452612,3.1554427,0.014182329291567817,0.5872445840559352,0.16666666666666666
-1,LMOD1,2.4475925,3.8518195,0.014381417928704275,0.5921427640419867,0.0
-1,CDK5RAP1,2.4436135,2.6854923,0.014540996090703355,0.5970361924300555,0.0
-1,OGG1,2.4399436,2.1996908,0.014689559454333503,0.5979297590254283,0.0
-1,CYP3A4,2.4380503,3.9236739,0.014766719386492363,0.5979297590254283,0.16666666666666666
-1,SAYSD1,2.4380503,3.6146986,0.014766719386492363,0.5979297590254283,0.0
-1,TMEM14C,2.4380503,3.5436027,0.014766719386492363,0.5979297590254283,0.0
-1,NUP54,2.4345572,2.3163257,0.014910018772314362,0.6018324925038206,0.0
-1,PLCB4,2.433704,1.8508703,0.014945219489111115,0.6018324925038206,0.0
-1,ZNRF3,2.4301739,3.3940883,0.015091579155176199,0.6046036118812316,0.0
-1,SNX13,2.4299521,2.0430849,0.015100813145092384,0.6046036118812316,0.16666666666666666
-1,PPIL1,2.42488,1.8304206,0.018085025078281174,0.6217223187958549,0.08333333333333333
-1,FIBCD1,2.4209719,-2.3668056,0.01743248453880583,0.6081833457570279,0.16666666666666666
-1,WDR74,2.4189658,3.0148227,0.015564705625708185,0.6166147434098124,0.0
-1,NAT6,2.4153194,2.5205796,0.01572141939432061,0.6205446541910802,0.0
-1,RASSF1,2.4117718,2.7123742,0.015875219788754707,0.6205446541910802,0.3333333333333333
-1,ELP6,2.4094236,2.3556526,0.0159777462508716,0.6205446541910802,0.0
-1,TTC19,2.4094236,2.5779538,0.0159777462508716,0.6205446541910802,0.16666666666666666
-1,KDELR2,2.4088566,2.7974815,0.016002584205500634,0.6205446541910802,0.0
-1,HDAC11,2.3998811,2.838279,0.016400393181850454,0.6293114221454553,0.16666666666666666
-1,REXO2,2.390339,1.9954453,0.01683283046057139,0.6326554586950139,0.0
-1,SAMD3,2.390339,1.8971683,0.01683283046057139,0.6326554586950139,0.0
-1,B4GALT6,2.384536,2.299929,0.017100672334890918,0.6410784017514861,0.0
-1,GINS4,2.3807967,1.8279266,0.01727524458870198,0.6426917136578519,0.16666666666666666
-1,SNRNP40,2.3807967,2.1839967,0.01727524458870198,0.6426917136578519,0.0
-1,METTL14,2.3734953,2.1352763,0.017620616920794085,0.64480012904338,0.0
-1,PDSS1,2.3734953,2.203417,0.017620616920794085,0.64480012904338,0.0
-1,SLC8B1,2.3652928,2.373213,0.01801582655416325,0.6455111501435133,0.16666666666666666
-1,DHX36,2.3617122,-0.97489935,0.018190761729782352,0.6455111501435133,0.0
-1,MTHFD1,2.3617122,1.1878881,0.018190761729782352,0.6455111501435133,0.6666666666666666
-1,COG8,2.3532965,3.3780048,0.018607794080170714,0.6455111501435133,0.5
-1,ASAH2,2.3526363,3.345984,0.018640852006695574,0.6455111501435133,0.0
-1,FEZF2,2.3468008,4.947191,0.01893537268605397,0.6455111501435133,0.3333333333333333
-1,GLTSCR2,2.3468008,6.4392385,0.01893537268605397,0.6455111501435133,0.0
-1,TYW3,2.3468008,5.5168595,0.01893537268605397,0.6455111501435133,0.16666666666666666
